callsign,count
 S.A. (Apair),1
ASPEN BASE,1
AIR PLAN,1
BIG A,1
PARCEL EXPRESS,1
APA INTERNACIONAL,1
AQUILA,1
BUSHAIR,1
ALCOA SHUTTLE,1
QUARIUS,1
QUANZA,1
ARIK AIR,1
AVIAIR,1
AEROCONDOR,1
 Aerovias de Integracion Regional,1
ARGENTINA,1
ARROWHEAD,1
AEROVICS,1
SERVICIO SANLUIS,1
AEROSUPER,1
LINK SERVICE,1
AIRLEC,1
AMEX,1
ARROW,1
AIR KLAIPEDA,1
AIR ARMENIA,1
METSERVICE,1
AEROTAL,1
ARAVCO,1
ARIABIRD,1
ALANIA,1
HOTEL TANGO,1
LINEAS TEHUACAN,1
AEROHUITZILIN,1
AERO HUMAYA,1
GOSEY,1
AIR RESORTS,1
AIR SPRAY,1
AIR STAR,1
AIR SINAI,1
MOROZOV,1
AFRICAN STAR,1
SATELLITE,1
AWESOME,1
AERO NITRA,1
AIRSPRINT,1
ACEY,1
AEROESTE,1
AVIONES ARE,1
AIR NEPAL,1
TAXI CARGO,1
ARROW PANAMA,1
ASTRAVIA,1
AIR ASTRAKHAN,1
STARLITE,1
TANZANIA,1
AEROTOURS,1
 Ltd.,1
BACHYT,1
BURKINA,1
AIR TRAVEL,1
SNOOPY,1
AEROTACA,1
CENTRALMEX,1
AIRTAS,1
AIR TRANSPORT,1
ASTRAL,1
MULTI,1
FERINCO,1
AERO ALFE,1
AVIALESOOKHRANA,1
FOXTROT FOXTROT,1
ATLAS-AIR,1
AERTURAS,1
ATLANT HUNGARY,1
AVANTI AIR,1
AERO TRADES,1
AUSTRIAN,1
SWALLOW,1
AUGSBURG-AIR,1
AIRCORPORATE,1
TUPOLEVAIR,1
AIRBRIDGE CARGO,1
ATESA,1
COWBOY,1
AUGUSTA,1
SULTAN,1
ATLAMUR,1
AVIONES UNIDOS,1
AEROESPECIAL,1
AYLINE,1
AUSTRAL,1
AUSTRALIAN,1
BEAUPAIR,1
CARIBOO,1
DJIBOUTI FALCON,1
KENT HELI,1
ATOMIC,1
AVIATE-COPTER,1
AIR VAN,1
AVIATION WORK,1
AVCORP,1
ALFA-SPACE,1
LANFREIGHT,1
LIFTCO,1
AVIALSA,1
ASIAVIA,1
AVIASUD,1
AIRVANTAGE,1
AVIATOR,1
PASLAUGA,1
YUGAIR,1
BELOUGA,1
AIR BANGLA,1
BULGARIAN,1
AERO BG,1
BAHIA,1
MEDITERRANEE,1
AVIASERVICE,1
AESA,1
SWAZILINK,1
AIR MOOREA,1
AIR VALENCIA,1
AIRWORK,1
AUSSIEWORLD,1
AIR NIAMEY,1
AWOOD AIR,1
ARCTIC WINGS,1
STORK,1
ARAB WINGS,1
AIR WEST,1
SYLT-AIR,1
RED DRAGON,1
FRENCH WEST,1
EXPRESS INDIA,1
AIR SUDEX,1
FREIGHTEXPRESS,1
AEROMEXHAGA,1
EXPRESS JET,1
EXEL COMMUTER,1
ASIAN EXPRESS,1
ALEXANDROS,1
AEROMAX SPAIN,1
ACTION AIR,1
ALBERNI,1
AERO BONANZA,1
AEROBONA,1
ABAIR,1
ALTUS,1
AXAVIA,1
IMPEX,1
AXIS,1
AIRLINES ALADIA,1
AYEET,1
ATLANT-SOYUZ,1
ALITALIA,1
TUMARA,1
ARCUS AIR,1
AIR ZERMATT,1
AZALHELICOPTER,1
SKY AFRICA,1
AEROCOZUMEL,1
ARIZONA PACIFIC,1
ZITOTRANS,1
AZOV AVIA,1
AIR ZIMBABWE,1
AERO JOMACHA,1
AIR MEMPHIS,1
MEPHIS UGANDA,1
AIR MARRAKECH,1
AZIMA,1
AZZA TRANSPORT,1
NIGHT AIR,1
ANTANIK,1
NEWAIR,1
AEROBANANA,1
AMAKO AIR,1
AROSCA,1
ANGOSERVICE,1
ANGEL AIR,1
ANGEL FLIGHT,1
CITY EXPRESS,1
AERONOVA,1
EXPERT,1
INTER EXPRESS,1
AIR LIBYA,1
AIRVENTURE,1
AERO SERVICIOS,1
AIR VALLEE,1
AEROMOVER,1
VIAS EJECUTIVAS,1
PITY,1
PULKOVO,1
AIRPAL,1
PULLMANTUR,1
Avex,1
SERVIAVIONES,1
AVIO SLUZBA,1
SCORPIO UNIVERS,1
AIR SPIRIT,1
OLIGA,1
AVIATECA,1
PINE STATE,1
AEROPYCSA,1
BORIS,1
BAHRAIN,1
AEROSERV,1
BABEL AIR,1
AGYDAL,1
MERCY,1
EAGLE FLIGHT,1
PUELCHE,1
AZZURRA,1
FLIGHTVUE,1
AEROCOSTAXI,1
AEROVITRO,1
VILLARICA,1
AEROVEGA,1
AEROVILLA,1
VILLAVERDE,1
WILLIAMETTE,1
VENEJECUTIV,1
WABASH,1
VANGUARDIA,1
VALLES,1
AERO VILAMOURA,1
VIREL,1
AEROVUELOX,1
AERONAVES TSM,1
AIRIVOIRE,1
BOTSWANA,1
TINGA-TINGA,1
AIR-EVANS,1
AIR SOREL,1
WIND RIDER,1
FOYLE,1
VICTORY,1
AIR TAHITI,1
URGA,1
VARDAR,1
AIRWALSER,1
ROSAVIA,1
AIRLIMITED,1
AIRCORP,1
GARONNE,1
AIRWINGS,1
WOLFPACK,1
AIR-ARP,1
WESTPAC RESCUE,1
AIR AURORA,1
AUSTRO AEREO,1
WINGLET,1
VLADLIFT,1
AVIAMERICA,1
IALSI,1
WOLVERINE,1
WEST TOGO,1
AVIENT,1
IAZUR,1
AVIAPRAD,1
AVIREX-GABON,1
EXPRESSAVIA,1
ALLIANCE,1
REMONT AIR,1
ATRAN,1
AMERAVIA,1
AIR ANGKOR,1
AIR VICTOR,1
AIR AVALAIR,1
AVERITT,1
Avensa,1
AEROVOLAR,1
STARBIRD,1
AVESCA,1
AVIAPROM,1
VIATRANSPORT,1
AVIOSTART,1
ATACARGO,1
AUS-CARGO,1
CAR LINE,1
AIRCHINA FREIGHT,1
AEROCARIBE,1
TAXI CABO,1
AIR COLUMBUS,1
CABOAEREO,1
AIR CHINA,1
CARDAL,1
CONDOR-PERU,1
SKOL,1
AEROFAN,1
ACEF,1
CALAFIA,1
CARGO BELIZE,1
CLUBE ALGARVE,1
CHANGCHENG,1
AIR CHAIKA,1
ZAIRE CHARTER,1
CHARTAIR,1
ACID,1
AIR ARCTIC,1
CIRCLE CITY,1
AEROCASTILLO,1
CLUB PORTUGAL,1
COMPASSION,1
CONDOMINICANA,1
CONNECTOR,1
CHENANGO,1
AIR CONSUL,1
CANEX,1
TECHSERVICE,1
AIR CORRIDOR,1
AIR CENTRAL,1
AIR CRUZAL,1
AEROTRANSCORP,1
CREE,1
CHAR-TRAN,1
TENGLONG,1
CENTAURO,1
CUAHONTE,1
CHATHAM,1
AIR MARSHALLS,1
COASTWATCH,1
CITYLINER,1
COYOTE,1
CYCLONE,1
AEROCHEYENNE,1
AIR ALGERIE,1
DAP,1
DOUBLE-A,1
AIR NIAGARA,1
TIRPA,1
DEGGER,1
ADAM SKY,1
DAHL,1
ARCHER,1
AEROMEDICA,1
AERODIN,1
ANTINEA,1
AIR DJIB,1
DOLOMOTI,1
AEROMODELO,1
DEL SUR,1
DINAMICAMONT,1
AERODINAMICO,1
AERODESPACHOS,1
FLYINGOLIVE,1
DYNAJET,1
DONAVIA,1
ALADA AIR,1
DARTMOOR,1
AERONORESTE,1
ADDIS CARGO,1
SKYBANNER,1
DESERT,1
AERO DAVINCI,1
AERO DYNAMIC,1
AECA,1
AERO-PYRENEES,1
TRANS EUROPE,1
CALIXJET,1
AIRCITY,1
EJECTUIVOS RCG,1
AERO CASTELLANA,1
AERO COMERCIALES,1
ANDES,1
AESTE,1
FLIGHT TAXI,1
SHAMROCK,1
EJECCORPORATIVOS,1
ALPI EAGLES,1
ARRENDADORA,1
ELIOSSOLA,1
DONGHAI AIR,1
AERONOR,1
EOLE,1
AERO ERMES,1
EMPRESARIALES,1
EPPS AIR,1
AEROEMPRESARIAL,1
EQUATORIAL,1
AVIANERGO,1
ASERGIO,1
AEROSEC,1
EOMAAN,1
AEROSABA,1
ALESUR,1
ESPERANZA,1
TRANATTICO,1
AEROSIETE,1
SNOWBIRD,1
SUNBEAM,1
DIANA,1
EXCHANGE,1
FAROECOPTER,1
FUAER,1
FIJIAIR,1
FANBIRD,1
FAST CHECK,1
AEROFRISCO,1
AIR SANKORE,1
FLYDOC,1
FREIAERO,1
AEROSAFIN,1
AIR FINLAND,1
FLIGHT CHECKER,1
AIRFIX,1
PACIFIC,1
FAROELINE,1
AIR FLORIDA,1
RIAZOR,1
AERO FENIX,1
FORD,1
AFRIJET,1
AFRIFAST,1
CHARTER AFRIQUE,1
FAST TRACK,1
AFFAIRES TCHAD,1
FLY TYROL,1
FAXI,1
ORIENT PACIFIC,1
AEROGAUCHO,1
GLOBAL JET,1
ATLANTIC GABON,1
AEROCARTO,1
AEROGEM,1
AEROVIAS GOLFO,1
GIRA GLOBO,1
GEORGIAN,1
HANDLING,1
AIR GHANA,1
AFRICAN TRANSPORT,1
FUTURE EXPRESS,1
AFRILENS,1
TWINS,1
GASLIGHT,1
MAYAN EAGLES,1
AEROGUAMUCHIL,1
SERVICIOS GAMA,1
GINTA,1
ALBERTA,1
GREECE AIRWAYS,1
AIR GEORGIA,1
GREENLAND,1
ALLEGRO,1
AGROAR,1
GRODNO,1
GREEN SPEED,1
AGRAV,1
GOLDEN WINGS,1
GIANT,1
GRUPOTAMPICO,1
AGUASCALIENTES,1
IRINA,1
HAITI AVIA,1
AIR COMORES,1
TAXI BIRD,1
AEROHEIN,1
HIGHER,1
ATLANTIC HONDURAS,1
EJECUTIVA HIDALGO,1
AIRHAITI,1
AL-RAIS CARGO,1
HAWKHUNGARY,1
TAHOMA,1
HAMILTON,1
AERO HOMEX,1
ALMIRON,1
HIGHFLYER,1
HORIZON TOGO,1
INTER-CAMEROUN,1
HELLAS LIFT,1
GHANA SURVEY,1
ILEK,1
AIRTIME,1
TAXI CIMARRON,1
AERO-NACIONAL,1
AEROINGE,1
INTENOR,1
IPULL,1
ARVAND,1
ATLAS AVIA,1
ARAM,1
ARIA,1
AEROTAXI,1
AIR AVITA,1
AERO CITRO,1
COMPANY EXEC,1
AIR BAGAN,1
AEROJAL,1
AIRLINK,1
AMBJEK AIR,1
ALEXANDAIR,1
JAMAICA EXPRESS,1
JOBENI,1
EDIL,1
JASPER,1
AVIONESJETS,1
JUAREZ,1
JAZZ,1
AASCO,1
AIR KIROVOGRAD,1
ICO-AIR,1
AIRKUFRA,1
ARKHABAY,1
KRIFKA AIR,1
AIR KRAFT MIR,1
CONCORDE AIR,1
TWEETY,1
KHAKI BLUE,1
ATLASJET,1
TRANS MALI,1
AEROKALUZ,1
AIR KORYO,1
ALEKS,1
AEROSUCRE,1
KOKTA,1
KISSARI,1
AERONAVIGACIYA,1
KAVAIR,1
DOLPHIN,1
ASTANALINE,1
AEROLAGOS,1
ALBANIAN,1
ALBISA,1
ALBANWAYS,1
DURANGO,1
ALDONAS AIR,1
AEROLIDER,1
MEXEJECUTIV,1
LIFE FLIGHT CANADA,1
AEROLAGUNA,1
AL AHRAM,1
ALIDA,1
AL-DAWOOD AIR,1
LAKE POWELL,1
AIRLIN,1
LUCKY,1
AEROLIMA,1
ALAMIA AIR,1
AIR FLIGHT,1
ALMATY,1
LINEAS MEXICANAS,1
AGLEB,1
LAN ECUADOR,1
LINEAINT,1
ALOK AIR,1
AIR SAINTLOUIS,1
NETSTAR,1
ALROSA,1
AL RIDA,1
AURELA,1
ALSAIR,1
LATINO,1
STEF,1
ALIVEN,1
AVIAVILSA,1
LUXOR GOLF,1
AIRLUXOR,1
APATAS,1
DOC AIR,1
LAZUR BEE-GEE,1
AEROMAN,1
AIRMAURITIUS,1
AVAG AIR,1
AIR MANAS,1
MABECO,1
AEREM,1
WESTMID,1
AIR MED,1
MARCOS,1
NIGHT SHIP,1
AIR MADAGASCAR,1
MEDAIR,1
EMPENNAGE,1
MCFLY,1
MAGELLAN,1
AEROMAGAR,1
AEROPREMIER,1
AIR MOLDOVA,1
AMAL,1
AIR MALI,1
AIR MADELEINE,1
AERMARCHE,1
MERMAID,1
AVIAMERIDIAN,1
AMP-INC,1
PERUMAX,1
AEROAMANECER,1
AERO MONGOLIA,1
MONARCH CARGO,1
PUBLICITARIA,1
AEROMORELIA,1
RED COMET,1
AEROMEXPRESS,1
MUSKETEER,1
AEROMORELOS,1
MARITIME,1
ABAS,1
MIKE ROMEO,1
AIR SPORT,1
AEROMAS EXPRESS,1
MESO AMERICANAS,1
AERAFKAM,1
AEROMETROPOLIS,1
AEROMET,1
AIRMETACK,1
MONTY,1
MAXAERO,1
AERO YAQUI,1
MONTES AZULES,1
AL-AIR,1
ANCARGO AIR,1
AEROLAREDO,1
ANGOAVIA,1
AERONI,1
AERONIETO,1
AEROLINE,1
NOVOKUZNETSK,1
NEPTUNE,1
NORTH SLOPE,1
SOSA,1
INTER-IVOIRE,1
SERVICIOS NUEVOLEON,1
NEW AVIAL,1
NORWING,1
BLUE-DOLPHIN,1
AEROGISA,1
OLVE,1
OMEGA,1
EDER,1
ONTARIO,1
CORPSA,1
AVIATION SERVICE,1
AEROSAN,1
ALIPARMA,1
PARABET,1
AIR-BURUNDI,1
POSTAL CARGO,1
AIRPACK EXPRESS,1
AIR PALACE,1
PACIFICO CHIHUAHUA,1
PROFREIGHT,1
PHARAOH,1
PHOENIX SHARJAH,1
PIRATE,1
AEROCALPA,1
PAKISTAN AIRWAY,1
AEROPERSONAL,1
AERO PLATINUM,1
APOYO AEREO,1
AEROPRIV,1
PATRIOT,1
RADISAIR,1
SIPSE,1
CORSAN,1
TRANSPRIVADO,1
AEREO PARAZA,1
ACLA,1
AIR QUASAR,1
QUAKER CITY,1
QUEBEC LABRADOR,1
ZEBRA,1
QUIMMCO,1
AIR ALADA,1
DIASA,1
RAPTOR,1
RUM BENIN,1
AEROBAJIO,1
AIRBUS FRANCE,1
AIR ROBERVAL,1
ARUBA,1
RACER,1
AEROCER,1
AEROFLOT-CARGO,1
REACH,1
AIR CASSAI,1
AEROCOAHUILA,1
AEROCORPSA,1
REGIONAL CARGO,1
AIR COURIER,1
SERVICE CENTER,1
ADLINES,1
AIR ADA,1
AER ARANN,1
AERORENT,1
RESCUE,1
REUNION,1
AEROREY,1
AERO AFRICA,1
RAFHILER,1
ARGOS,1
AIRGOAT,1
ARCHIPELS,1
INTERMIN AVIA,1
AERIS,1
ASIAN SPIRIT,1
ASERJET,1
AIRAFRIC,1
AIRLINAIR,1
AEROLEONE,1
AERO LANKA,1
ALIZE,1
AIR AMDER,1
ARMENIAN,1
ARM-AERO,1
AEROMAX,1
AIR SALONE,1
AEROMNEM,1
RUNNER,1
ARMAVIA,1
ESTE-BOLIVIA,1
AEROGEN,1
AVIOR,1
AEROEL,1
BRAVO QUEBEC,1
AEROITALIA,1
AERODAN,1
AEROREPUBLICA,1
AEROPACSA,1
AEROROCA,1
AERO TORREON,1
AIR ROMANIA,1
TARASCAS,1
CONGOSERV,1
AEROSUR,1
LUZAVIA,1
ARTHELICO,1
ARTOAIR,1
TURQUOISE,1
AEROTUCAN,1
ANASTASIA,1
AIR RUM,1
CARGO TURK,1
AEROVIP,1
AIR-VET,1
ARROWEC,1
TYNWALD,1
AERO-EXTRA,1
REX AIR,1
AERO ZAMBIA,1
ZANO,1
RED ZONE,1
AEROSAAB,1
ASSOCIATED,1
SCREAMER,1
AERO DOMINGO,1
SUDPACIFICO,1
SERVIPACIFICO,1
AEROCALIFORNIA,1
AIR SAFAR,1
SEGOVIA,1
AIRSHARE,1
SIYUSA,1
AEROSILZA,1
SAN JUAN,1
SKIPPER,1
SAMI,1
AVAVIA,1
ALSOL,1
AIR SOLEIL,1
AEROSOGA,1
SPEEDLINE,1
AIR SKOPJE,1
EJECTUIV PACIFICO,1
THAI SPACE,1
SPEED SERVICE,1
ALSAQER AVIATION,1
AIRSAFARI,1
SERVICORP,1
SIERRA SULTAN,1
RAPID,1
SUNSTREAM,1
SAT PAK,1
PARADISE,1
AEROSURESTE,1
SURVEY,1
SLOVAKIA,1
SHOCKWAVE,1
AIR YAKUTIA,1
SKYTRACK,1
AERO COSTA,1
TRANS-AEROMAR,1
AEROTREBOL,1
AERO CABOS,1
KERRMONT,1
TRANSCOLOMBIA,1
TURBO DOG,1
TRIDENT,1
AIR TODAY,1
AEROAZTECA,1
ARKEFLY,1
ANTAIR,1
TRIPLE-A,1
AEREO AUTLAN,1
AEROUTIL,1
AEROTOLUCA,1
TAXICENTRO,1
TROPICMEX,1
TOMISKO CARGO,1
BALUS,1
AEROTANALA,1
AERO TROPICAL,1
AIRCAL,1
TCHAD-HORIZON,1
TAXI-POTOSI,1
AEROTURQUESA,1
TRANSTAR,1
CITRUS,1
TRANSAT,1
AIRTRA,1
AERO TURISTICAS,1
TETON,1
TUNGARU,1
TWINARROW,1
TAXI OESTE,1
ALFE,1
AEREOTAXIS,1
AERO TOMZA,1
ZAMBEZI,1
AFRALINE,1
AEROSTAR,1
GALETA,1
CHARTER UKRAINE,1
AIR L-A,1
AIR UKRAINE,1
AIR UMBRIA,1
ATUNEROS UNIDOS,1
AEROCLUB FLAPS,1
AEROGAL,1
GLO-AIR,1
MIRNY,1
PROVOST,1
BALKAN AGRO,1
AWAL,1
FELIX,1
BELGIAN AIRFORCE,1
BAKER AVIATION,1
BLACKHAWK,1
BRITANNIA,1
BUSINESS AIR,1
PENGUIN,1
BRADLEY,1
AIR BISSAU,1
BAY AIR,1
SPEEDBIRD,1
BAYON,1
BANAIR,1
BANGLADESH,1
BLUE CARGO,1
BEIBARS,1
BRAVO EUROPE,1
COBRA,1
BACH,1
BLUE ISLAND,1
BACKER,1
BOBCAT,1
BUSINESS AVIATION,1
BLUE DART,1
Air Bosna,1
BISSAU DISCOVERY,1
BELGIAN ARMY,1
BADR AIR,1
BEST AIR,1
BELOGORYE,1
BAR HARBOR,1
BALEAR EXPRESS,1
BLUECOPTER,1
BERKUT,1
BETA CARGO,1
BASLER,1
BEARFLIGHT,1
BUFFALO,1
BOMBARDIER,1
BURKLINES,1
BUSINESS FLIGHT,1
SUMMAN,1
BALKAN HOLIDAYS,1
BRITISH GULF,1
GULF INTER,1
BENIN GOLF,1
BUGAVIA,1
BUDGET AIR,1
BERGEN AIR,1
BUDDHA AIR,1
SHARIF,1
BRISTOW,1
BRISTOW HELICOPTERS,1
BHOJA,1
BELAIR,1
BIGHORN AIR,1
BAHAMAS,1
BRIGHTAIR,1
BOSPHORUS,1
BINAIR,1
BIG ISLE,1
BRINTEL,1
BILAIR,1
BISON-AIR,1
BIRD AIR,1
BIZZ,1
BAJA AIR,1
BALTIC JET,1
SOLUTION,1
BANKAIR,1
BAKERFLIGHT,1
BARKEN JET,1
BANGKOK AIR,1
BUKOVYNA,1
BLUEBIRD SUDAN,1
BELLESAVIA,1
BLUE BERRY,1
BLUEFIN,1
BELGAVIA,1
BLUE HORIZON,1
BLUEWAY,1
BALTIC AIRLINES,1
BLUE ARMENIA,1
BIAR,1
BEARSKIN,1
BALTAIR,1
BELLVIEW AIRLINES,1
MIDLAND,1
BRITISH MEDICAL,1
BRIGGS,1
MASAYU,1
BABY,1
BEMIDJI,1
BISMILLAH,1
BOWMAN,1
BMW-FLIGHT,1
BANXICO,1
BOND,1
BENINA AIR,1
VECTIS,1
NILE TRADING,1
BONAIR,1
BANCSTAR,1
BENTIU AIR,1
BENANE,1
BRITISH NORTH,1
KUMANOVO,1
UGABOND,1
BOEING,1
BORDAIR,1
BOOKAJET,1
BOURAQ,1
BLUE PANOROMA,1
VENERA,1
PIROL,1
BASE,1
BONUS,1
BRA-TRANSPAEREOS,1
BROCK AIR,1
AVIABREEZE,1
BERING AIR,1
BRIANSK-AVIA,1
BRANSON,1
COASTRIDER,1
BRAZILIAN AIR FORCE,1
BRITISH,1
BELARUS AVIA,1
BRAVO,1
BRIGHT SERVICES,1
Braniff,1
BUFF EXPRESS,1
BURAIR,1
BIG SHOT,1
AIRLINES STAR,1
BRASAIR,1
BLUE SWANN,1
BISSAU AIRSYSTEM,1
TUNCA,1
SKY BLUE,1
BIG SKY,1
BASHKIRIAN,1
BALTIJAS HELICOPTERS,1
BALTYKA,1
